https://www.commandlinefu.com/commands/view/3969/binary-clock, Binary Clock, watch -n 1 'echo "obase=2;`date +%s`" | bc'
https://www.commandlinefu.com/commands/view/1079/sort-the-size-usage-of-a-directory-tree-by-gigabytes-kilobytes-megabytes-then-bytes., Sort the size usage of a directory tree by gigabytes, kilobytes, megabytes, then bytes., du -b --max-depth 1 | sort -nr | perl -pe 's{([0-9]+)}{sprintf "%.1f%s", $1>=2**30? ($1/2**30, "G"): $1>=2**20? ($1/2**20, "M"): $1>=2**10? ($1/2**10, "K"): ($1, "")}e'
https://www.commandlinefu.com/commands/view/10007/duplicate-installed-packages-from-one-machine-to-the-other-rpm-based-systems, Duplicate installed packages from one machine to the other (RPM-based systems), ssh [email protected] "rpm -qa" | xargs yum -y install
https://www.commandlinefu.com/commands/view/9775/draw-kernel-module-dependancy-graph., Draw kernel module dependancy graph., lsmod | perl -e 'print "digraph \"lsmod\" {";<>;while(<>){@_=split/\s+/; print "\"$_[0]\" -> \"$_\"\n" for split/,/,$_[3]}print "}"' | dot -Tpng | display -
https://www.commandlinefu.com/commands/view/5253/get-your-outgoing-ip-address, Get your outgoing IP address, dig +short myip.opendns.com @resolver1.opendns.com
https://www.commandlinefu.com/commands/view/2251/compare-two-directory-trees., Compare two directory trees., diff <(cd dir1 && find | sort) <(cd dir2 && find | sort)
https://www.commandlinefu.com/commands/view/1870/bring-the-word-under-the-cursor-on-the-ex-line-in-vim, Bring the word under the cursor on the :ex line in Vim, :<C-R><C-W>
https://www.commandlinefu.com/commands/view/1476/remind-yourself-to-leave-in-15-minutes, Remind yourself to leave in 15 minutes, leave +15
https://www.commandlinefu.com/commands/view/877/make-directory-tree, make directory tree, mkdir -p work/{d1,d2}/{src,bin,bak}
https://www.commandlinefu.com/commands/view/29/download-all-images-from-a-site, Download all images from a site, wget -r -l1 --no-parent -nH -nd -P/tmp -A".gif,.jpg" http://example.com/images
https://www.commandlinefu.com/commands/view/9701/convert-youtube-videos-to-mp3, Convert Youtube videos to MP3, youtube-dl -t --extract-audio --audio-format mp3 YOUTUBE_URL_HERE
https://www.commandlinefu.com/commands/view/9105/find-out-how-much-data-is-waiting-to-be-written-to-disk, Find out how much data is waiting to be written to disk, grep ^Dirty /proc/meminfo
https://www.commandlinefu.com/commands/view/3543/show-apps-that-use-internet-connection-at-the-moment., Show apps that use internet connection at the moment., lsof -P -i -n | cut -f 1 -d " "| uniq | tail -n +2
https://www.commandlinefu.com/commands/view/2785/port-knocking, Port Knocking!, knock <host> 3000 4000 5000 && ssh -p <port> [email protected] && knock <host> 5000 4000 3000
https://www.commandlinefu.com/commands/view/2158/add-timestamp-to-history, Add timestamp to history, export HISTTIMEFORMAT="%F %T "
https://www.commandlinefu.com/commands/view/1981/recursively-change-permissions-on-files-leave-directories-alone., Recursively change permissions on files, leave directories alone., find ./ -type f -exec chmod 644 {} \;
https://www.commandlinefu.com/commands/view/1293/find-files-that-have-been-modified-on-your-system-in-the-past-60-minutes, Find files that have been modified on your system in the past 60 minutes, sudo find / -mmin 60 -type f
